"(79.0, 345.0)","(17.0, 471.0)","(155.0, 248.5)","(117.0, 458.0)","(229.0, 491.0)","(264.0, 205.5)","(333.0, 488.0)","(358.0, 202.0)","(427.0, 399.0)","(432.0, 289.0)","(436.0, 343.0)"
"(80.0, 345.0)","(19.0, 474.0)","(155.0, 247.0)","(118.5, 462.0)","(231.0, 493.5)","(264.0, 203.0)","(334.0, 486.0)","(359.0, 198.0)","(427.0, 395.0)","(433.0, 284.0)","(436.0, 339.0)"
"(81.0, 344.0)","(19.0, 477.0)","(155.0, 246.5)","(118.0, 463.5)","(231.0, 492.0)","(263.5, 201.0)","(333.0, 485.0)","(358.5, 196.0)","(426.0, 393.0)","(432.0, 283.0)","(434.0, 337.0)"
"(81.0, 343.0)","(17.0, 479.0)","(155.0, 245.0)","(115.0, 460.0)","(229.0, 488.0)","(263.0, 200.0)","(334.0, 482.0)","(359.0, 194.0)","(425.0, 392.0)","(432.0, 281.5)","(434.0, 336.0)"
"(81.0, 343.0)","(15.0, 481.0)","(155.0, 245.0)","(112.0, 458.0)","(227.0, 483.5)","(264.0, 199.0)","(331.0, 478.0)","(357.5, 194.0)","(424.0, 390.0)","(432.0, 279.5)","(434.0, 334.0)"
"(81.0, 343.0)","(15.0, 483.0)","(155.0, 245.0)","(110.0, 458.0)","(227.0, 481.0)","(263.0, 199.0)","(331.0, 476.0)","(357.0, 192.0)","(424.0, 388.0)","(432.0, 278.0)","(434.0, 332.0)"
"(81.0, 343.0)","(15.0, 486.0)","(155.0, 245.0)","(110.5, 460.0)","(227.0, 482.0)","(263.5, 198.0)","(332.0, 476.0)","(357.0, 190.5)","(423.0, 387.0)","(432.0, 276.0)","(434.0, 331.0)"
"(82.0, 342.0)","(15.0, 487.0)","(155.0, 243.5)","(111.0, 461.0)","(227.0, 483.0)","(263.0, 197.5)","(331.0, 475.0)","(357.0, 190.0)","(423.0, 387.0)","(431.0, 277.0)","(432.0, 331.0)"
"(82.0, 341.0)","(16.0, 488.0)","(155.0, 243.5)","(110.0, 461.0)","(227.0, 482.0)","(262.5, 197.0)","(331.0, 474.0)","(357.0, 190.0)","(423.0, 387.0)","(432.0, 276.0)","(432.0, 331.0)"
"(83.0, 341.0)","(16.0, 490.0)","(156.0, 243.5)","(110.0, 460.0)","(227.0, 480.0)","(264.0, 197.0)","(329.0, 474.0)","(357.0, 190.0)","(423.0, 387.0)","(432.0, 277.0)","(432.5, 331.0)"
